Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Sales x 24 hours for the cheapest item,Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Market direct link,Steamcardexchange link,Steam store link,SI
485870,Super Duper Party Pooper,6.99,-50%,0.04,2.2,8,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_485870#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-485870,https://store.steampowered.com/app/485870/Super_Duper_Party_Pooper/,]
585830,Ninja Stealth 2,6.99,-50%,0.04,2.2,8,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_585830#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-585830,https://store.steampowered.com/app/585830/Ninja_Stealth_2/,]
595460,Flix and Chill,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_595460#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-595460,https://store.steampowered.com/app/595460/Flix_and_Chill/,]
418040,hocus,6.99,-50%,0.04,2.2,8,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_418040#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-418040,https://store.steampowered.com/app/418040/hocus/,]
487220,Freebie,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_487220#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-487220,https://store.steampowered.com/app/487220/Freebie/,]
555710,Zolg,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_555710#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-555710,https://store.steampowered.com/app/555710/Zolg/,]
303390,Dead Bits,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_303390#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-303390,https://store.steampowered.com/app/303390/Dead_Bits/,]
618610,Endless Horde,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_618610#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-618610,https://store.steampowered.com/app/618610/Endless_Horde/,]
377310,The Tower Of Elements,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_377310#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-377310,https://store.steampowered.com/app/377310/The_Tower_Of_Elements/,]
448070,Red Risk,6.99,-50%,0.04,2.2,7,4,1.32,8.8,,0.49,5.39,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_448070#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-448070,https://store.steampowered.com/app/448070/Red_Risk/,]
